Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Ivica Zubac (26802966),Ivica Zubac,26802966,C/UTIL,5500,LAC@DEN 02/26/2023 10:00PM ET,LAC,27.52
SF/PF,KJ Martin (26803055),KJ Martin,26803055,SF/PF/F/UTIL,5500,HOU@POR 02/26/2023 09:00PM ET,HOU,22.78
C,Mason Plumlee (26802905),Mason Plumlee,26802905,C/UTIL,5100,LAC@DEN 02/26/2023 10:00PM ET,LAC,31.69
PG/SG,Terance Mann (26802950),Terance Mann,26802950,PG/SG/G/UTIL,4600,LAC@DEN 02/26/2023 10:00PM ET,LAC,18.88
C,Drew Eubanks (26802954),Drew Eubanks,26802954,C/UTIL,4600,HOU@POR 02/26/2023 09:00PM ET,POR,16.96
SG,Kentavious Caldwell-Pope (26802917),Kentavious Caldwell-Pope,26802917,SG/G/UTIL,4500,LAC@DEN 02/26/2023 10:00PM ET,DEN,22.81
SG/SF,Bruce Brown (26802971),Bruce Brown,26802971,SG/SF/F/G/UTIL,4500,LAC@DEN 02/26/2023 10:00PM ET,DEN,24.53
PG/SG,Reggie Jackson (26802890),Reggie Jackson,26802890,PG/SG/G/UTIL,4400,LAC@DEN 02/26/2023 10:00PM ET,DEN,20.30
SG/SF,Eric Gordon (26802881),Eric Gordon,26802881,SG/SF/F/G/UTIL,4300,LAC@DEN 02/26/2023 10:00PM ET,LAC,21.95
SG/SF,Jae'Sean Tate (26802945),Jae'Sean Tate,26802945,SG/SF/F/G/UTIL,4200,HOU@POR 02/26/2023 09:00PM ET,HOU,17.81
SG/SF,Cam Reddish (26803001),Cam Reddish,26803001,SG/SF/F/G/UTIL,4100,HOU@POR 02/26/2023 09:00PM ET,POR,15.91
SF/PF,Tari Eason (26803047),Tari Eason,26803047,SF/PF/F/UTIL,4100,HOU@POR 02/26/2023 09:00PM ET,HOU,20.16
SF/PF,Nassir Little (26803015),Nassir Little,26803015,SF/PF/F/UTIL,4000,HOU@POR 02/26/2023 09:00PM ET,POR,12.72
PG/SG,Shaedon Sharpe (26803087),Shaedon Sharpe,26803087,PG/SG/G/UTIL,4000,HOU@POR 02/26/2023 09:00PM ET,POR,13.51
PG,TyTy Washington Jr. (26803079),TyTy Washington Jr.,26803079,PG/G/UTIL,3700,HOU@POR 02/26/2023 09:00PM ET,HOU,9.66
PF,Marcus Morris Sr. (26802897),Marcus Morris Sr.,26802897,PF/F/UTIL,3600,LAC@DEN 02/26/2023 10:00PM ET,LAC,22.84
SF/PF,Vlatko Cancar (26802980),Vlatko Cancar,26802980,SF/PF/F/UTIL,3600,LAC@DEN 02/26/2023 10:00PM ET,DEN,12.29
SG/SF,Matisse Thybulle (26802956),Matisse Thybulle,26802956,SG/SF/F/G/UTIL,3600,HOU@POR 02/26/2023 09:00PM ET,POR,8.29
PF/C,Nicolas Batum (26802886),Nicolas Batum,26802886,PF/C/F/UTIL,3500,LAC@DEN 02/26/2023 10:00PM ET,LAC,16.75
SG/SF,Keon Johnson (26803038),Keon Johnson,26803038,SG/SF/F/G/UTIL,3500,HOU@POR 02/26/2023 09:00PM ET,POR,8.63
C,Trendon Watford (26803024),Trendon Watford,26803024,C/UTIL,3400,HOU@POR 02/26/2023 09:00PM ET,POR,13.17
SG/SF,Josh Christopher (26803033),Josh Christopher,26803033,SG/SF/F/G/UTIL,3400,HOU@POR 02/26/2023 09:00PM ET,HOU,8.48
PF,Jeff Green (26802870),Jeff Green,26802870,PF/F/UTIL,3200,LAC@DEN 02/26/2023 10:00PM ET,DEN,14.11
PG,Ryan Arcidiacono (26802929),Ryan Arcidiacono,26802929,PG/G/UTIL,3200,HOU@POR 02/26/2023 09:00PM ET,POR,2.93
SG/SF,Christian Braun (26803019),Christian Braun,26803019,SG/SF/F/G/UTIL,3100,LAC@DEN 02/26/2023 10:00PM ET,DEN,9.93
PF/C,Jabari Walker (26803043),Jabari Walker,26803043,PF/C/F/UTIL,3100,HOU@POR 02/26/2023 09:00PM ET,POR,6.67
SG,Daishen Nix (26803063),Daishen Nix,26803063,SG/G/UTIL,3100,HOU@POR 02/26/2023 09:00PM ET,HOU,10.99
PG,Ish Smith (26802876),Ish Smith,26802876,PG/G/UTIL,3000,LAC@DEN 02/26/2023 10:00PM ET,DEN,8.38
C,DeAndre Jordan (26802879),DeAndre Jordan,26802879,C/UTIL,3000,LAC@DEN 02/26/2023 10:00PM ET,DEN,13.62
PF/C,Robert Covington (26802911),Robert Covington,26802911,PF/C/F/UTIL,3000,LAC@DEN 02/26/2023 10:00PM ET,LAC,15.15
C,Thomas Bryant (26802964),Thomas Bryant,26802964,C/UTIL,3000,LAC@DEN 02/26/2023 10:00PM ET,DEN,22.24
PF,Jack White (26802968),Jack White,26802968,PF/F/UTIL,3000,LAC@DEN 02/26/2023 10:00PM ET,DEN,2.6
SF/PF,Amir Coffey (26802976),Amir Coffey,26802976,SF/PF/F/UTIL,3000,LAC@DEN 02/26/2023 10:00PM ET,LAC,7.87
PG,Keaton Wallace (26802987),Keaton Wallace,26802987,PG/G/UTIL,3000,LAC@DEN 02/26/2023 10:00PM ET,LAC,0
PG,Collin Gillespie (26802994),Collin Gillespie,26802994,PG/G/UTIL,3000,LAC@DEN 02/26/2023 10:00PM ET,DEN,0
PG,Jason Preston (26803009),Jason Preston,26803009,PG/G/UTIL,3000,LAC@DEN 02/26/2023 10:00PM ET,LAC,8.5
PG,Bones Hyland (26803026),Bones Hyland,26803026,PG/G/UTIL,3000,LAC@DEN 02/26/2023 10:00PM ET,LAC,21.14
PF/C,Zeke Nnaji (26803029),Zeke Nnaji,26803029,PF/C/F/UTIL,3000,LAC@DEN 02/26/2023 10:00PM ET,DEN,9.84
PG/SG,Brandon Boston Jr. (26803051),Brandon Boston Jr.,26803051,PG/SG/G/UTIL,3000,LAC@DEN 02/26/2023 10:00PM ET,LAC,10.75
PF/C,Moussa Diabate (26803070),Moussa Diabate,26803070,PF/C/F/UTIL,3000,LAC@DEN 02/26/2023 10:00PM ET,LAC,7.75
SG,Peyton Watson (26803074),Peyton Watson,26803074,SG/G/UTIL,3000,LAC@DEN 02/26/2023 10:00PM ET,DEN,2.73
C,Boban Marjanovic (26802915),Boban Marjanovic,26802915,C/UTIL,3000,HOU@POR 02/26/2023 09:00PM ET,HOU,5.25
PF/C,Frank Kaminsky III (26802920),Frank Kaminsky III,26802920,PF/C/F/UTIL,3000,HOU@POR 02/26/2023 09:00PM ET,HOU,6.43
SF,Justise Winslow (26802942),Justise Winslow,26802942,SF/F/UTIL,3000,HOU@POR 02/26/2023 09:00PM ET,POR,20.46
SF/PF,Kevin Knox II (26802990),Kevin Knox II,26802990,SF/PF/F/UTIL,3000,HOU@POR 02/26/2023 09:00PM ET,POR,10.24
PF,Darius Days (26803012),Darius Days,26803012,PF/F/UTIL,3000,HOU@POR 02/26/2023 09:00PM ET,HOU,6.88
C,Usman Garuba (26803066),Usman Garuba,26803066,C/UTIL,3000,HOU@POR 02/26/2023 09:00PM ET,HOU,12.35
C,John Butler (26803077),John Butler,26803077,C/UTIL,3000,HOU@POR 02/26/2023 09:00PM ET,POR,1.56
C,Ibou Badji (26803085),Ibou Badji,26803085,C/UTIL,3000,HOU@POR 02/26/2023 09:00PM ET,POR,0
PG,Trevor Hudgins (26803091),Trevor Hudgins,26803091,PG/G/UTIL,3000,HOU@POR 02/26/2023 09:00PM ET,HOU,2.8
